20,20,20,60,40,40,20,60,40,40,60,60
20,20,20,60,40,40,20,20,40,40,60,20
20,20,40,40,60,20,40,40,60,20,60,60
20,60,40,40,60,60,40,40,60,20,60,60
20,20,20,60,40,40,40,40,60,20,60,60
20,20,40,40,60,20,20,60,40,40,60,60
20,60,40,20,40,60,40,20,40,60,60,60
20,20,20,40,60,40,20,40,20,60,60,40
20,20,40,20,40,60,40,20,40,60,60,20
20,40,60,20,60,40,20,40,60,40,60,60
20,40,40,20,40,60,40,20,40,60,60,40
20,20,20,60,40,20,40,20,60,20,60,60
20,20,60,20,60,40,20,60,60,40,60,60
20,20,20,60,40,60,40,60,60,20,60,60
20,20,20,40,60,20,20,40,20,60,60,60
20,30,20,50,60,30,20,50,60,30,60,50
30,20,30,60,50,60,30,20,50,20,50,60
20,20,20,60,60,60,20,20,60,20,60,60
20,30,20,60,60,50,20,30,60,20,60,50
20,20,30,60,50,20,30,60,50,20,60,60
20,20,20,50,60,30,20,50,60,30,60,60
20,60,30,20,50,60,30,20,50,60,60,20
20,20,40,40,60,20,20,60,60,20,60,60
20,20,20,60,60,60,40,40,60,20,60,60
20,20,20,60,60,20,20,60,40,40,60,60
20,20,20,60,40,40,20,20,60,20,60,60
20,20,20,50,60,20,20,60,60,30,60,60
20,20,20,60,50,60,30,20,60,20,60,60
20,30,20,60,60,60,20,20,60,20,60,50
20,20,20,60,50,20,30,60,60,20,60,60
20,20,20,60,60,60,40,20,40,40,60,40
20,20,20,60,60,20,40,40,40,60,60,40
20,40,40,40,40,60,20,20,60,20,60,60
20,40,40,20,40,40,20,60,60,20,60,60
20,30,20,60,60,60,30,20,60,20,60,60
20,20,20,60,50,20,20,60,60,30,60,60
20,20,20,60,50,60,20,20,60,20,60,50
20,20,20,50,60,20,30,60,60,20,60,60
